ImpfungDatum,count
2024-07-01 00:00:00.000,1
2011-02-03 00:00:00.000,1
2024-06-26 00:00:00.000,1
1988-03-10 00:00:00.000,1
2005-01-31 00:00:00.000,1
2021-03-23 00:00:00.000,1
2008-04-29 00:00:00.000,1
2019-05-21 00:00:00.000,1
2023-10-19 00:00:00.000,1
2020-01-24 00:00:00.000,1
1983-10-22 00:00:00.000,1
2019-11-30 00:00:00.000,1
2019-04-30 00:00:00.000,1
2019-10-29 00:00:00.000,1
2019-10-10 00:00:00.000,1
1975-01-31 00:00:00.000,1
2019-08-09 00:00:00.000,1
2015-11-16 00:00:00.000,1
2019-08-28 00:00:00.000,1
1998-11-05 00:00:00.000,1
2019-07-10 00:00:00.000,1
2017-04-21 00:00:00.000,1
2019-07-03 00:00:00.000,1
2005-06-01 00:00:00.000,1
2020-02-05 00:00:00.000,1
2007-07-27 00:00:00.000,1
2005-06-14 00:00:00.000,1
1992-02-11 00:00:00.000,1
1998-01-01 00:00:00.000,1
2024-02-08 00:00:00.000,1
2020-03-09 00:00:00.000,1
2023-10-06 00:00:00.000,1
2021-08-13 00:00:00.000,1
2005-06-13 00:00:00.000,1
2021-12-10 00:00:00.000,1
2008-01-15 00:00:00.000,1
2004-09-17 00:00:00.000,1
2014-01-16 00:00:00.000,1
2022-06-14 00:00:00.000,1
2007-10-11 00:00:00.000,1
2002-01-10 00:00:00.000,1
2013-07-03 00:00:00.000,1
1983-09-15 00:00:00.000,1
2017-12-14 00:00:00.000,1
1986-01-04 00:00:00.000,1
1985-09-09 00:00:00.000,1
1997-06-10 00:00:00.000,1
2003-11-12 00:00:00.000,1
1973-01-01 00:00:00.000,1
1967-10-27 00:00:00.000,1
1996-12-12 00:00:00.000,1
2016-08-19 00:00:00.000,1
2005-06-02 00:00:00.000,1
2016-07-18 00:00:00.000,1
2016-07-21 00:00:00.000,1
2016-07-19 00:00:00.000,1
2002-08-10 00:00:00.000,1
2003-02-28 00:00:00.000,1
2016-06-20 00:00:00.000,1
2016-06-27 00:00:00.000,1
2016-06-06 00:00:00.000,1
2011-05-26 00:00:00.000,1
2000-06-07 00:00:00.000,1
1998-02-01 00:00:00.000,1
1998-01-22 00:00:00.000,1
2017-01-18 00:00:00.000,1
2017-01-20 00:00:00.000,1
2002-06-22 00:00:00.000,1
1992-01-15 00:00:00.000,1
2016-08-30 00:00:00.000,1
2016-12-13 00:00:00.000,1
2016-05-26 00:00:00.000,1
1997-09-12 00:00:00.000,1
2008-12-16 00:00:00.000,1
1999-04-27 00:00:00.000,1
1999-01-21 00:00:00.000,1
2014-06-16 00:00:00.000,1
2004-01-22 00:00:00.000,1
2006-08-03 00:00:00.000,1
1986-08-26 00:00:00.000,1
1997-06-03 00:00:00.000,1
2000-10-04 00:00:00.000,1
1978-01-01 00:00:00.000,1
1967-07-02 00:00:00.000,1
1995-06-22 00:00:00.000,1
2015-06-29 00:00:00.000,1
1997-02-11 00:00:00.000,1
2005-02-09 00:00:00.000,1
2014-05-14 00:00:00.000,1
1989-10-13 00:00:00.000,1
2015-05-21 00:00:00.000,1
1966-06-22 00:00:00.000,1
1984-01-04 00:00:00.000,1
2015-02-25 00:00:00.000,1
1992-06-11 00:00:00.000,1
2005-07-14 00:00:00.000,1
1984-02-14 00:00:00.000,1
1994-12-01 00:00:00.000,1
2015-07-20 00:00:00.000,1
2015-07-22 00:00:00.000,1
2015-07-30 00:00:00.000,1
2015-09-10 00:00:00.000,1
2014-11-20 00:00:00.000,1
1984-03-09 00:00:00.000,1
2003-02-01 00:00:00.000,1
2003-04-10 00:00:00.000,1
