ReportingDate,count
2011-06-12 00:00:00.000,10
2018-06-06 00:00:00.000,10
2011-04-24 00:00:00.000,10
2015-01-12 00:00:00.000,10
2008-06-16 00:00:00.000,10
2008-06-23 00:00:00.000,10
2009-06-22 00:00:00.000,10
2011-06-27 00:00:00.000,10
2010-02-01 00:00:00.000,10
2013-07-12 00:00:00.000,9
2006-09-18 00:00:00.000,9
2004-04-12 00:00:00.000,9
2015-03-15 00:00:00.000,9
2011-05-15 00:00:00.000,9
2011-06-02 00:00:00.000,9
2013-07-17 00:00:00.000,9
2024-07-18 00:00:00.000,9
2011-04-08 00:00:00.000,9
2011-04-12 00:00:00.000,9
2001-01-01 00:00:00.000,9
2011-04-17 00:00:00.000,9
2011-04-21 00:00:00.000,9
2015-05-19 00:00:00.000,9
2015-01-30 00:00:00.000,9
2011-01-10 00:00:00.000,9
2010-02-15 00:00:00.000,9
2011-04-28 00:00:00.000,9
2015-02-06 00:00:00.000,9
2011-05-03 00:00:00.000,9
2013-04-29 00:00:00.000,9
2015-06-03 00:00:00.000,9
2013-04-22 00:00:00.000,9
2015-02-20 00:00:00.000,9
2010-09-20 00:00:00.000,9
2015-06-11 00:00:00.000,9
2011-04-10 00:00:00.000,9
2002-10-28 00:00:00.000,9
2007-02-26 00:00:00.000,9
2013-06-11 00:00:00.000,9
2003-07-07 00:00:00.000,9
2011-06-20 00:00:00.000,9
2011-06-26 00:00:00.000,9
2008-02-25 00:00:00.000,9
2002-12-02 00:00:00.000,9
2015-06-23 00:00:00.000,9
2009-06-08 00:00:00.000,9
2011-06-01 00:00:00.000,9
2007-12-17 00:00:00.000,9
2015-06-29 00:00:00.000,9
2013-06-09 00:00:00.000,8
2010-09-13 00:00:00.000,8
2010-12-20 00:00:00.000,8
2015-05-15 00:00:00.000,8
2005-11-28 00:00:00.000,8
2011-06-11 00:00:00.000,8
2013-04-24 00:00:00.000,8
2003-05-26 00:00:00.000,8
2011-04-29 00:00:00.000,8
2013-04-27 00:00:00.000,8
2002-09-09 00:00:00.000,8
2003-07-28 00:00:00.000,8
2011-05-01 00:00:00.000,8
2013-06-29 00:00:00.000,8
2013-07-02 00:00:00.000,8
2013-08-16 00:00:00.000,8
2013-08-14 00:00:00.000,8
2013-08-19 00:00:00.000,8
2014-12-31 00:00:00.000,8
2011-03-30 00:00:00.000,8
2011-04-27 00:00:00.000,8
2008-01-14 00:00:00.000,8
2008-02-04 00:00:00.000,8
2011-06-05 00:00:00.000,8
2015-01-10 00:00:00.000,8
2019-03-06 00:00:00.000,8
2014-12-29 00:00:00.000,8
2011-06-03 00:00:00.000,8
2013-05-12 00:00:00.000,8
2013-05-07 00:00:00.000,8
2015-04-12 00:00:00.000,8
2018-06-04 00:00:00.000,8
2015-05-21 00:00:00.000,8
2015-05-20 00:00:00.000,8
2013-06-23 00:00:00.000,8
2018-06-12 00:00:00.000,8
2013-06-22 00:00:00.000,8
2016-05-31 00:00:00.000,8
2013-11-04 00:00:00.000,8
2011-06-09 00:00:00.000,8
2011-01-17 00:00:00.000,8
2002-09-16 00:00:00.000,8
2006-08-14 00:00:00.000,8
2015-04-29 00:00:00.000,8
2010-01-25 00:00:00.000,8
2013-07-16 00:00:00.000,8
2015-02-21 00:00:00.000,8
2003-03-10 00:00:00.000,8
2013-04-16 00:00:00.000,8
2007-02-12 00:00:00.000,8
2002-10-14 00:00:00.000,8
