SequenceName	type	date
06-00275	D6	2006-04-20
06-00277	D6	2006-04-20
06-00278	D6	2006-04-20
06-00280	D6	2006-04-19
06-00281	D6	2006-04-24
06-00283	D6	2006-04-21
06-00285	D6	2006-04-24
06-00287	D6	2006-04-20
06-00290	D6	2006-04-25
06-00291	D6	2006-04-24
06-00292	D6	2006-04-25
06-00294	D6	2006-04-25
06-00296	D6	2006-04-27
06-00297	D6	2006-04-24
06-00298	D6	2006-04-24
06-00299	D6	2006-04-25
06-00300	D6	2006-04-25
06-00301	D6	2006-04-24
06-00344	D6	2006-04-25
06-00345	D6	2006-04-27
06-00346	D6	2006-04-27
06-00347	D6	2006-04-27
06-00349	D6	2006-04-25
06-00350	D6	2006-04-25
06-00351	D6	2006-04-27
06-00352	D6	2006-04-27
06-00356	D6	2006-05-02
06-00358	D6	2006-04-26
06-00359	D6	2006-04-27
06-00360	D6	2006-04-27
06-00361	D6	2006-05-02
06-00363	D6	2006-05-02
06-00364	D6	2006-05-03
06-00365	D6	2006-05-04
06-00367	D4	2006-05-04
06-00372	D6	2006-05-07
06-00373	D6	2006-05-08
06-00376	D6	2006-05-09
06-00377	D6	2006-05-09
06-00379	D6	2006-05-10
06-00381	D6	2006-05-11
06-00383	D6	2006-05-11
06-00387	D6	2006-05-11
06-00388	D6	2006-05-11
06-00389	D6	2006-05-15
06-00390	D6	2006-05-15
06-00392	D4	2006-05-12
06-00393	D6	2006-05-12
06-00394	D6	2006-05-13
06-00395	D6	2006-05-15
06-00400	D4	2006-05-15
06-00401	D4	2006-05-15
06-00402	D6	2006-05-16
06-00405	D6	2006-05-15
06-00414	D6	2006-05-18
06-00418	D6	2006-05-23
06-00419	D4	2006-05-22
06-00435	D6	2006-05-26
06-00437	D4	2006-05-24
06-00438	D6	2006-05-29
06-00440	D6	2006-05-26
06-00443	D6	2006-05-19
06-00445	D4	2006-05-29
06-00446	D6	2006-05-30
06-00454	D5	2006-06-02
06-00456	D6	2006-05-30
06-00457	D6	2006-05-31
06-00459	D6	2006-05-30
06-00460	D6	2006-05-30
06-00462	D4	2006-05-31
06-00467	D4	2006-06-02
06-00468	D4	2006-06-06
06-00470	D6	2006-05-31
06-00471	D6	2006-05-31
06-00472	D6	2006-06-07
06-00478	D4	2006-06-06
06-00481	D6	2006-06-07
06-00484	D6	2006-06-07
06-00485	D6	2006-06-07
06-00486	D6	2006-06-07
06-00494	D4	2006-06-08
06-00496	D4	2006-06-08
06-00497	D4	2006-06-08
06-00498	D6	2006-06-12
06-00499	D6	2006-06-09
06-00502	D6	2006-06-08
06-00503	D6	2006-06-09
06-00505	D4	2006-06-09
06-00507	D6	2006-06-12
06-00511	D6	2006-06-13
06-00512	D6	2006-06-01
06-00513	D6	2006-06-12
06-00514	D6	2006-06-13
06-00515	D6	2006-06-13
06-00517	D6	2006-06-13
06-00524	D5	2006-06-09
06-00540	D6	2006-06-20
06-00541	D6	2006-06-20
06-00549	D6	2006-06-22
06-00558	D4	2006-06-23
06-00567	D6	2006-06-28
06-00568	D6	2006-06-28
06-00572	D4	2006-06-29
06-00575	D6	2006-06-30
06-00583	D4	2006-07-04
06-00595	D4	2006-07-10
06-00597	D6	2006-07-11
06-00598	D6	2006-07-11
06-00601	D6	2006-07-07
06-00616	D6	2006-07-18
06-00623	D6	2006-06-30
06-00625	D6	2006-07-20
06-00630	D4	2006-07-25
06-00631	D6	2006-07-24
07-00188	D8	2007-03-12
07-00197	D5	2007-03-14
07-00235	D8	2007-04-02
07-00238	D8	2007-04-03
07-00245	D8	2007-03-28
07-00246	D8	2007-04-03
07-00249	D8	2007-04-05
07-00260	D8	2007-04-13
07-00264	D8	2007-04-19
07-00265	D8	2007-04-20
07-00266	D8	2007-04-20
07-00267	D8	2007-04-20
07-00268	D8	2007-04-19
07-00288	D8	2007-04-27
07-00290	D8	2007-04-24
07-00291	D8	2007-04-27
07-00292	D8	2007-04-30
07-00295	D8	2007-04-30
07-00297	D8	2007-04-30
07-00299	D8	2007-04-27
07-00300	D8	2007-04-28
07-00302	D8	2007-04-28
07-00303	D8	2007-04-28
07-00306	D8	2007-05-03
07-00308	D8	2007-05-03
07-00310	D8	2007-05-07
07-00311	D8	2007-05-07
07-00320	D8	2007-05-07
07-00324	D8	2007-05-09
07-00326	D8	2007-05-08
07-00327	D8	2007-05-09
07-00329	D8	2007-05-10
07-00330	D8	2007-05-08
07-00332	D8	2007-05-12
07-00333	D8	2007-05-11
07-00335	D8	2007-05-10
07-00338	D8	2007-05-15
07-00340	D8	2007-05-15
07-00341	D8	2007-05-14
07-00344	D8	2007-05-14
07-00349	D8	2007-05-18
07-00352	D8	2007-05-16
07-00356	D8	2007-05-21
07-00358	D8	2007-05-22
07-00360	D8	2007-05-22
07-00361	D5	2007-05-22
07-00362	D8	2007-05-22
07-00363	D8	2007-05-22
07-00365	D8	2007-05-25
07-00366	D5	2007-05-28
07-00369	D8	2007-05-29
07-00376	D8	2007-05-31
07-00377	D8	2007-05-31
07-00382	D8	2007-06-04
07-00390	D8	2007-06-06
07-00391	D5	2007-06-04
07-00397	D8	2007-06-11
07-00399	D8	2007-06-11
07-00412	D8	2007-06-18
07-00450	B3	2007-06-27
07-00566	D4	2007-08-02
07-00568	D5	2007-08-02
07-00577	D4	2007-08-07
07-00639	D5	2007-09-20
07-00640	D5	2007-09-24
07-00678	D4	2007-10-29
07-00681	D4	2007-11-02
07-00695	D4	2007-11-06
07-00698	D4	2007-11-12
07-00699	D4	2007-11-12
07-00734	D4	2007-11-22
07-00739	D4	2007-11-28
07-00741	D4	2007-11-28
